ANGLE,DISTANCE
24.617655,57.200005
24.882352,55.599998
25.147063,55.400002
25.411774,55.699997
25.676471,55.900002
25.941182,56.199997
26.205893,56.099998
26.470590,55.800003
26.735301,55.800003
26.999998,56.000000
27.264709,55.900002
27.529419,55.800003
27.794117,56.000000
28.058827,56.400002
28.323538,56.599998
28.588235,56.699997
28.852946,56.900002
29.117657,57.200005
29.382354,57.400002
29.647065,57.400002
29.911762,57.700001
30.176473,57.700001
30.441184,57.799999
30.705881,58.200001
30.970592,58.700001
31.235303,58.999996
31.500000,59.299999
31.764711,59.700001
32.029421,59.899998
32.294118,60.200001
32.558829,60.600002
32.823526,60.900002
33.088237,61.500000
33.352948,62.500000
33.617645,62.800003
33.882356,63.200005
34.147067,63.400002
34.411764,63.900002
34.676475,64.400002
34.941186,64.800003
35.205883,65.100006
35.470594,65.300003
35.735304,65.500000
36.000002,65.699997
36.264712,66.000000
36.529410,66.500000
36.794120,67.699997
37.058831,67.099998
37.323528,66.000000
37.588239,67.099998
37.852950,67.400002
38.117647,67.699997
38.382358,68.199997
38.647069,68.800003
38.911766,69.800003
39.176477,69.599998
39.441174,70.800003
39.705885,70.700005
39.970596,70.700005
40.235293,70.400002
40.500004,70.700005
42.617649,117.999992
42.882360,118.900002
43.147057,115.300003
43.411768,117.799995
43.676479,119.099998
78.882348,64.000000
79.147059,63.500000
79.411769,63.000000
79.676480,62.900002
79.941191,62.800003
80.205875,63.000000
80.470585,63.099998
80.735296,63.200005
81.000007,63.400002
81.264718,63.700001
81.529429,63.099998
81.794112,62.900002
82.058823,62.800003
82.323534,62.500000
82.588245,63.700001
82.852955,63.800003
83.117639,62.800003
83.647061,61.500000
83.911771,61.299999
84.176482,60.799999
84.441193,60.700001
84.705877,60.600002
84.970587,60.600002
85.235298,60.500000
85.500009,60.399998
85.764720,60.299999
86.029403,60.299999
86.294114,60.200001
86.558825,60.100002
86.823536,60.000004
87.088247,59.899998
87.352957,59.799999
87.617641,59.799999
87.882352,59.799999
88.147062,59.700001
88.411773,59.600002
88.676484,59.700001
88.941168,59.500004
89.205878,59.600002
89.470589,59.600002
89.735300,59.500004
90.000011,59.700001
90.264722,59.600002
90.529405,59.700001
90.794116,59.700001
91.058827,59.899998
91.323538,60.000004
91.588248,60.200001
91.852932,60.399998
92.117643,60.799999
92.382354,61.000000
92.647064,61.199997
92.911775,61.500000
93.176486,62.300003
93.441170,63.200005
93.705880,63.900002
96.088250,184.099991
96.352934,182.199997
96.617645,182.199997
96.882355,182.000000
97.147066,181.699997
97.411777,181.699997
97.676461,181.699997
97.941171,181.600006
98.205882,181.100006
98.470593,180.800003
98.735304,181.199997
99.000015,181.000000
99.264698,180.699997
99.529409,180.600006
99.794120,180.500000
100.058831,180.500000
100.323541,180.400009
100.588225,180.200012
100.852936,180.200012
101.117647,180.200012
101.382357,180.100006
101.647068,180.000000
101.911779,180.100006
102.176463,179.800003
102.441173,179.900009
102.705884,179.700012
102.970595,179.800003
103.235306,179.800003
103.500017,179.600006
103.764700,179.600006
104.029411,179.600006
104.294122,179.800003
104.558833,179.700012
104.823543,179.500000
105.088227,179.600006
105.352938,179.300003
105.617648,179.700012
105.882359,182.399994
106.147070,179.600006
106.411781,179.600006
106.676464,179.600006
106.941175,179.900009
